id,question,answer
Q1,"Wie kann ich einchecken?","Der Check-In erfolgt an der Rezeption im Erdgeschoss. Sie benötigen Ihre Buchungsbestätigung und einen gültigen Ausweis."
Q2,"Ab wann kann ich einchecken?","Der reguläre Check-In ist ab 15:00 Uhr möglich. Früherer Check-In ist nach Verfügbarkeit möglich."
Q3,"Bis wann muss ich auschecken?","Der Check-Out ist bis 11:00 Uhr möglich."
Q4,"Kann ich später auschecken?","Ja, ein Late Check-Out ist nach Absprache und Verfügbarkeit möglich. Bitte wenden Sie sich an die Rezeption."
Q5,"Kann ich online einchecken?","Ja, wir bieten einen Online-Check-In über den Link in Ihrer Buchungsbestätigung an."
Q6,"Wie funktioniert der Online Check-In?","Klicken Sie auf den Link in Ihrer Buchungsbestätigung, geben Sie Ihre Daten ein und bestätigen Sie die Anreisezeit."
Q7,"Wo ist die Rezeption?","Die Rezeption befindet sich im Erdgeschoss, rechts vom Hoteleingang."
Q8,"Wie lange ist die Rezeption besetzt?","Unsere Rezeption ist täglich von 7:00 bis 23:00 Uhr besetzt."
Q9,"Was mache ich, wenn ich nach 23 Uhr anreise?","Kein Problem! Bitte informieren Sie uns vorher. Sie erhalten einen Zugangscode für den Nachteingang."
Q10,"Wie bekomme ich meinen Zimmerschlüssel?","Sie erhalten Ihren Schlüssel oder Ihre Zimmerkarte beim Check-In an der Rezeption."
Q11,"Wie öffne ich das Zimmer mit Karte?","Halten Sie die Karte an das Schloss, bis die grüne Lampe aufleuchtet, und öffnen Sie dann die Tür."
Q12,"Ich habe meine Karte verloren, was soll ich tun?","Bitte melden Sie sich an der Rezeption. Wir deaktivieren die alte Karte und geben Ihnen eine neue."
Q13,"Kann ich jemanden mit auf mein Zimmer nehmen?","Besucher sind erlaubt, bitte informieren Sie aber die Rezeption aus Sicherheitsgründen."
Q14,"Gibt es WLAN im Hotel?","Ja, kostenloses WLAN steht im gesamten Hotel zur Verfügung."
Q15,"Wie lautet das WLAN Passwort?","Das WLAN heißt 'HotelGuest' und das Passwort ist 'Welcome2025'."
Q16,"Mein WLAN funktioniert nicht.","Bitte trennen Sie die Verbindung und stellen Sie sie erneut her. Sollte das Problem bestehen, kontaktieren Sie die Rezeption."
Q17,"Gibt es Parkplätze am Hotel?","Ja, es gibt kostenpflichtige Parkplätze direkt vor dem Hotel."
Q18,"Wie viel kostet das Parken?","Das Parken kostet 10 € pro Nacht."
Q19,"Kann ich vorab einen Parkplatz reservieren?","Ja, bitte geben Sie dies bei der Buchung an oder kontaktieren Sie uns vor Ihrer Anreise."
Q20,"Gibt es eine Ladestation für E-Autos?","Ja, wir haben zwei Ladestationen für Elektrofahrzeuge auf dem Parkplatz."
Q21,"Wie nutze ich die E-Ladestation?","Melden Sie sich an der Rezeption, dort erhalten Sie eine Zugangskarte zum Laden."
Q22,"Sind Haustiere erlaubt?","Ja, kleine Haustiere sind auf Anfrage erlaubt. Es fällt eine Reinigungsgebühr von 15 € pro Nacht an."
Q23,"Darf ich im Zimmer rauchen?","Nein, das Hotel ist ein Nichtraucherhotel. Rauchen ist nur in den ausgewiesenen Außenbereichen erlaubt."
Q24,"Gibt es Raucherbereiche?","Ja, auf der Terrasse und neben dem Haupteingang gibt es Raucherzonen."
Q25,"Wie kann ich ein Zimmer buchen?","Sie können direkt auf unserer Website, telefonisch oder über gängige Buchungsportale buchen."
Q26,"Wie kann ich meine Buchung stornieren?","Stornierungen sind bis 24 Stunden vor Anreise kostenlos möglich. Danach fällt eine Nachtgebühr an."
Q27,"Wie kann ich meine Buchung ändern?","Bitte kontaktieren Sie die Rezeption oder senden Sie uns eine E-Mail an info@hotel-example.de."
Q28,"Kann ich eine Rechnung auf meine Firma ausstellen lassen?","Ja, geben Sie einfach die Firmendaten beim Check-In an."
Q29,"Bekomme ich eine Rechnung per E-Mail?","Ja, auf Wunsch senden wir Ihnen die Rechnung als PDF per E-Mail zu."
Q30,"Wie bezahle ich im Hotel?","Wir akzeptieren Barzahlung, EC-Karte, Visa, Mastercard und American Express."
Q31,"Kann ich mit Apple Pay bezahlen?","Ja, kontaktlose Zahlung mit Apple Pay und Google Pay ist möglich."
Q32,"Gibt es ein Restaurant im Hotel?","Ja, unser Restaurant befindet sich im Erdgeschoss und bietet regionale Küche."
Q33,"Wann hat das Restaurant geöffnet?","Das Restaurant ist täglich von 18:00 bis 22:00 Uhr geöffnet."
Q34,"Bietet das Hotel Frühstück an?","Ja, ein Frühstücksbuffet wird täglich von 6:30 bis 10:30 Uhr serviert."
Q35,"Wie viel kostet das Frühstück?","Das Frühstück kostet 15 € pro Person."
Q36,"Kann ich auch ohne Frühstück buchen?","Ja, Sie können bei der Buchung 'ohne Frühstück' wählen oder es vor Ort hinzufügen."
Q37,"Gibt es vegane oder glutenfreie Optionen beim Frühstück?","Ja, bitte informieren Sie uns vorab, damit wir entsprechende Optionen vorbereiten können."
Q38,"Gibt es einen Zimmerservice?","Ja, Zimmerservice steht täglich von 7:00 bis 22:00 Uhr zur Verfügung."
Q39,"Wie bestelle ich Zimmerservice?","Rufen Sie die Nummer 9 von Ihrem Zimmertelefon aus oder nutzen Sie den QR-Code im Zimmer."
Q40,"Kann ich Essen aufs Zimmer bestellen?","Ja, Sie können Speisen aus dem Restaurant oder Snackservice bestellen."
Q41,"Wo finde ich die Speisekarte?","Die aktuelle Speisekarte finden Sie im Zimmer oder über den QR-Code auf dem Schreibtisch."
Q42,"Gibt es eine Minibar im Zimmer?","Ja, alle Zimmer sind mit einer Minibar ausgestattet."
Q43,"Wie melde ich ein Problem im Zimmer?","Bitte kontaktieren Sie die Rezeption telefonisch oder über den Chatbot. Wir kümmern uns sofort darum."
Q44,"Das Licht funktioniert nicht.","Bitte informieren Sie die Rezeption. Der Hausmeister wird sich sofort darum kümmern."
Q45,"Das Wasser ist kalt.","Bitte lassen Sie das Wasser kurz laufen. Wenn es kalt bleibt, informieren Sie bitte sofort die Rezeption."
Q46,"Meine Klimaanlage funktioniert nicht.","Bitte überprüfen Sie, ob sie eingeschaltet ist. Wenn sie weiterhin nicht funktioniert, melden Sie sich an der Rezeption."
Q47,"Gibt es einen Aufzug?","Ja, unser Hotel verfügt über zwei Aufzüge zu allen Etagen."
Q48,"Wie komme ich zum Fitnessraum?","Der Fitnessraum befindet sich im Untergeschoss und ist mit dem Aufzug erreichbar."
Q49,"Wann ist der Fitnessraum geöffnet?","Der Fitnessraum ist rund um die Uhr geöffnet."
Q50,"Gibt es einen Pool?","Ja, unser Innenpool befindet sich im Spa-Bereich im Erdgeschoss."
Q51,"Wann ist der Pool geöffnet?","Der Pool ist täglich von 7:00 bis 22:00 Uhr geöffnet."
Q52,"Gibt es eine Sauna?","Ja, im Spa-Bereich befindet sich eine Sauna, die von 10:00 bis 22:00 Uhr geöffnet ist."
Q53,"Ist der Spa-Bereich kostenpflichtig?","Für Hotelgäste ist der Zugang zum Spa-Bereich kostenlos."
Q54,"Kann ich eine Massage buchen?","Ja, bitte reservieren Sie Ihre Massage an der Rezeption oder telefonisch."
Q55,"Bietet das Hotel Flughafentransfer an?","Ja, gegen Aufpreis bieten wir einen Shuttle-Service zum Flughafen an."
Q56,"Wie bestelle ich ein Taxi?","Bitte wenden Sie sich an die Rezeption, wir bestellen gern ein Taxi für Sie."
Q57,"Wie komme ich zum Bahnhof?","Der Hauptbahnhof ist etwa 10 Minuten entfernt. Wir rufen Ihnen gern ein Taxi oder erklären den Weg zu Fuß."
Q58,"Wo ist die nächste Bushaltestelle?","Die Bushaltestelle befindet sich direkt vor dem Hoteleingang."
Q59,"Kann ich Gepäck aufbewahren lassen?","Ja, wir bewahren Ihr Gepäck sicher an der Rezeption auf."
Q60,"Gibt es einen Weckdienst?","Ja, bitte geben Sie Ihre gewünschte Weckzeit an der Rezeption an."
Q61,"Kann ich Bügeleisen und Bügelbrett ausleihen?","Ja, wenden Sie sich an die Rezeption, wir bringen es Ihnen aufs Zimmer."
Q62,"Gibt es einen Wäscheservice?","Ja, Sie können Wäsche an der Rezeption abgeben. Die Reinigung dauert in der Regel 24 Stunden."
Q63,"Gibt es einen Safe im Zimmer?","Ja, jedes Zimmer verfügt über einen eigenen Safe im Schrank."
Q64,"Wie funktioniert der Safe?","Geben Sie Ihren vierstelligen Code ein, drücken Sie 'Lock'. Zum Öffnen erneut den Code und 'Unlock'."
Q65,"Ich habe meinen Safe-Code vergessen.","Bitte informieren Sie die Rezeption. Unser Sicherheitsteam kann den Safe öffnen."
Q66,"Gibt es eine Klimaanlage im Zimmer?","Ja, alle Zimmer verfügen über individuell regelbare Klimaanlagen."
Q67,"Wie stelle ich die Temperatur ein?","Benutzen Sie das Wandpanel im Zimmer. Die gewünschte Temperatur lässt sich dort einstellen."
Q68,"Kann ich Fenster öffnen?","Ja, die meisten Zimmerfenster lassen sich kippen oder öffnen. Bitte achten Sie auf Sicherheitsverriegelungen."
Q69,"Gibt es eine Terrasse oder einen Balkon?","Einige Zimmer verfügen über Balkone. Fragen Sie bei der Buchung danach."
